Timestamp,Event,UE_ID,SUCI,Authentication_Result,Registration_Status,gNB_IP,DNN,S_NSSAI
07/01 13:26:51.010,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,Failure,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/01 13:28:25.645,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:08:05.668,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:14:58.939,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:17:40.969,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:19:34.069,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:21:03.964,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:21:58.451,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:22:23.491,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:22:48.432,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:23:55.878,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:24:31.796,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:26:12.751,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:29:46.678,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:30:17.563,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:30:38.473,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:31:05.264,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:31:59.072,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:32:47.181,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:33:31.400,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:34:32.203,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:34:54.935,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:36:10.405,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:36:23.991,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:36:39.484,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:37:18.908,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:37:30.062,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:37:45.657,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:38:03.213,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:38:17.492,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:38:45.209,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:39:02.128,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:39:15.630,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:39:30.123,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:39:44.831,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:40:09.812,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:40:28.203,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:40:47.729,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:41:01.009,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:41:17.918,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:41:55.072,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:43:01.785,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:43:56.862,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:44:46.576,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:44:53.676,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:45:07.662,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:45:18.019,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:45:31.160,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:45:50.193,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:46:02.428,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:46:23.837,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:46:50.148,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:47:12.332,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:47:28.276,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
07/02 10:48:13.987,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,192.168.56.102,internet,SST:1 SD:0xffffff
